id,age,country,language,personality,reading_habits,favourite_genres,patience
ID0001,36,United Kingdom,English,Extrovert,Daily,Comics & Graphic Novels,High
ID0002,67,India,Hindi,Extrovert,Weekly,Fantasy,High
ID0003,75,Germany,German,Introvert,Weekly,Fiction,Moderate
ID0004,24,India,Hindi,Extrovert,Monthly,Biography & Memoir,Low
ID0005,29,Nigeria,English,Ambivert,Monthly,Fiction,High
ID0006,46,Mexico,Spanish,Ambivert,Daily,Poetry,Moderate
ID0007,59,Brazil,Portuguese,Ambivert,Weekly,Biography & Memoir,Moderate
ID0008,33,United States,English,Ambivert,Weekly,History,Low
ID0009,34,Nigeria,English,Extrovert,Several times a week,Fantasy,Moderate
ID0010,49,India,Hindi,Ambivert,Daily,Romance,Moderate
ID0011,61,India,Hindi,Ambivert,Rarely,Romance,High
ID0012,70,India,Hindi,Ambivert,Weekly,Self-Help,High
ID0013,69,United Kingdom,English,Extrovert,Weekly,Self-Help,Moderate
ID0014,27,Japan,Japanese,Ambivert,Daily,Business,Low
ID0015,31,Mexico,Spanish,Introvert,Several times a week,Fiction,Low
ID0016,67,Canada,English,Ambivert,Weekly,Mystery & Thriller,High
ID0017,28,France,French,Ambivert,Rarely,Science & Technology,Moderate
ID0018,51,South Korea,Korean,Extrovert,Weekly,Science Fiction,Moderate
ID0019,57,China,Mandarin Chinese,Introvert,Monthly,Business,High
ID0020,73,India,Hindi,Ambivert,Several times a week,Business,High
ID0021,58,Spain,Spanish,Ambivert,Rarely,History,Moderate
ID0022,30,South Korea,Korean,Extrovert,Rarely,Fiction,Low
ID0023,21,Canada,English,Extrovert,Monthly,Fantasy,Moderate
ID0024,39,India,Hindi,Ambivert,Weekly,History,Moderate
ID0025,38,Canada,English,Ambivert,Weekly,Self-Help,Moderate
ID0026,58,Brazil,Portuguese,Extrovert,Several times a week,Science Fiction,High
ID0027,31,India,Hindi,Extrovert,Daily,History,Moderate
ID0028,70,Sweden,Swedish,Ambivert,Several times a week,Self-Help,High
ID0029,72,Sweden,Swedish,Ambivert,Weekly,Biography & Memoir,Moderate
ID0030,21,Brazil,Portuguese,Introvert,Daily,History,High
ID0031,24,United States,English,Introvert,Several times a week,Science Fiction,High
ID0032,46,South Africa,English,Introvert,Weekly,Business,High
ID0033,33,Australia,English,Introvert,Monthly,Self-Help,Moderate
ID0034,70,Mexico,Spanish,Ambivert,Rarely,Self-Help,High
ID0035,35,Indonesia,Indonesian,Introvert,Weekly,History,Moderate
ID0036,55,France,French,Ambivert,Daily,Mystery & Thriller,Moderate
ID0037,74,South Korea,Korean,Ambivert,Monthly,Science Fiction,Moderate
ID0038,59,India,Hindi,Introvert,Monthly,Self-Help,Moderate
ID0039,38,India,Hindi,Ambivert,Weekly,History,Moderate
ID0040,20,United Arab Emirates,Arabic,Introvert,Weekly,Fiction,High
ID0041,53,India,Hindi,Ambivert,Rarely,Fiction,Moderate
ID0042,26,China,Mandarin Chinese,Ambivert,Weekly,History,High
ID0043,46,China,Mandarin Chinese,Ambivert,Several times a week,Mystery & Thriller,Low
ID0044,23,China,Mandarin Chinese,Extrovert,Weekly,Self-Help,Moderate
ID0045,51,United Kingdom,English,Ambivert,Several times a week,Business,High
ID0046,43,Italy,Italian,Ambivert,Several times a week,History,Moderate
ID0047,19,Canada,English,Introvert,Daily,Science Fiction,Low
ID0048,56,India,Hindi,Introvert,Monthly,Self-Help,Moderate
ID0049,45,South Korea,Korean,Ambivert,Monthly,Mystery & Thriller,Low
ID0050,72,India,Hindi,Extrovert,Several times a week,Mystery & Thriller,Low
ID0051,32,Germany,German,Ambivert,Several times a week,Mystery & Thriller,Low
ID0052,63,United Kingdom,English,Introvert,Several times a week,Business,Moderate
ID0053,20,Italy,Italian,Ambivert,Several times a week,Romance,Moderate
ID0054,47,South Africa,English,Introvert,Several times a week,Self-Help,Moderate
ID0055,67,Italy,Italian,Introvert,Several times a week,Fantasy,Moderate
ID0056,46,India,Hindi,Ambivert,Several times a week,Mystery & Thriller,High
ID0057,54,Brazil,Portuguese,Introvert,Weekly,Fiction,Moderate
ID0058,27,United Kingdom,English,Ambivert,Several times a week,Mystery & Thriller,High
ID0059,21,Sweden,Swedish,Introvert,Weekly,Science Fiction,Moderate
ID0060,55,Germany,German,Introvert,Several times a week,Business,Moderate
ID0061,38,India,Hindi,Ambivert,Monthly,Romance,High
ID0062,62,Germany,German,Ambivert,Weekly,Biography & Memoir,Low
ID0063,26,China,Mandarin Chinese,Ambivert,Daily,Fiction,Moderate
ID0064,69,Indonesia,Indonesian,Introvert,Monthly,Fiction,High
ID0065,55,India,Hindi,Extrovert,Weekly,Science Fiction,High
ID0066,55,Spain,Spanish,Extrovert,Daily,Mystery & Thriller,Low
ID0067,56,United Kingdom,English,Ambivert,Rarely,Fiction,Moderate
ID0068,54,India,Hindi,Ambivert,Rarely,Romance,Moderate
ID0069,44,Indonesia,Indonesian,Extrovert,Weekly,Fiction,Moderate
ID0070,44,India,Hindi,Extrovert,Weekly,Fantasy,Moderate
ID0071,24,China,Mandarin Chinese,Ambivert,Daily,Fantasy,Moderate
ID0072,22,India,Hindi,Ambivert,Weekly,Fantasy,High
ID0073,22,Germany,German,Ambivert,Several times a week,Biography & Memoir,High
ID0074,72,France,French,Ambivert,Daily,Romance,High
ID0075,31,United Kingdom,English,Introvert,Rarely,Business,Moderate
ID0076,41,Netherlands,Dutch,Ambivert,Daily,History,Moderate
ID0077,38,India,Hindi,Introvert,Weekly,Romance,Low
ID0078,66,Indonesia,Indonesian,Ambivert,Monthly,Fantasy,Moderate
ID0079,70,Mexico,Spanish,Extrovert,Weekly,Comics & Graphic Novels,Moderate
ID0080,68,India,Hindi,Ambivert,Monthly,Romance,Moderate
ID0081,57,Canada,English,Ambivert,Several times a week,Poetry,Moderate
ID0082,70,France,French,Extrovert,Daily,Fiction,Moderate
ID0083,48,China,Mandarin Chinese,Introvert,Daily,Science & Technology,Low
ID0084,22,Japan,Japanese,Ambivert,Weekly,Science Fiction,High
ID0085,37,India,Hindi,Ambivert,Several times a week,Mystery & Thriller,Moderate
ID0086,68,Canada,English,Introvert,Weekly,Biography & Memoir,High
ID0087,72,Australia,English,Introvert,Several times a week,Science Fiction,Moderate
ID0088,36,Canada,English,Introvert,Weekly,History,Moderate
ID0089,51,Germany,German,Ambivert,Monthly,Fantasy,High
ID0090,48,South Africa,English,Introvert,Weekly,Fiction,Moderate
ID0091,23,Brazil,Portuguese,Introvert,Weekly,Science & Technology,Low
ID0092,66,India,Hindi,Introvert,Weekly,Romance,Low
ID0093,26,India,Hindi,Ambivert,Several times a week,Science Fiction,Moderate
ID0094,70,India,Hindi,Extrovert,Several times a week,Mystery & Thriller,Moderate
ID0095,75,Australia,English,Ambivert,Several times a week,Fantasy,High
ID0096,41,France,French,Ambivert,Monthly,Fantasy,Moderate
ID0097,44,Australia,English,Ambivert,Weekly,Fantasy,High
ID0098,45,Australia,English,Ambivert,Several times a week,Science Fiction,Low
ID0099,46,India,Hindi,Extrovert,Monthly,Self-Help,Moderate
ID0100,57,China,Mandarin Chinese,Introvert,Several times a week,Mystery & Thriller,High
ID0101,31,India,Hindi,Introvert,Rarely,Romance,Moderate
ID0102,40,India,Hindi,Ambivert,Monthly,Fantasy,Moderate
ID0103,43,Italy,Italian,Ambivert,Daily,Business,Moderate
ID0104,65,India,Hindi,Introvert,Several times a week,Mystery & Thriller,Moderate
ID0105,63,Sweden,Swedish,Ambivert,Rarely,Business,Low
